"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model"
"Base Train","0.885","0",20,"V1","tree"
"batch sizes","8000","2000",20,"V1","tree"
"HDDM_A","0.838287","2",30,"V2","rf"
"HDDM_W","0.8370502","2",30,"V2","rf"
"KSWIN","0.8395746","28",30,"V2","rf"
"PageHinkley","0.8391514","3",30,"V2","rf"
"DDM","0.8377997","3",30,"V2","rf"
"EDDM","0.839105","13",30,"V2","rf"
"PDD_C","0.8376825","18",30,"V2","rf"
"PDD_1","0.8382862","3",30,"V2","rf"
"PDD_2","0.8362794","1",30,"V2;V1","rf"
"PDD_3","0.8362794","1",30,"V2;V1;V3","rf"
"Base Test","0.9006993","0",30,"V2","rf"
"Base Train","0.9991248","0",30,"V2","rf"
"batch sizes","5713","1429",30,"V2","rf"
"HDDM_A","0.8446773","2",30,"V2","logistic"
"HDDM_W","0.8407363","2",30,"V2","logistic"
"KSWIN","0.8422291","30",30,"V2","logistic"
"PageHinkley","0.8437423","3",30,"V2","logistic"
"DDM","0.8426252","5",30,"V2","logistic"
"EDDM","0.8381424","12",30,"V2","logistic"
"PDD_C","0.8391937","0",30,"V2","logistic"
"PDD_1","0.8391937","0",30,"V2","logistic"
"PDD_2","0.8391937","0",30,"V2;V1","logistic"
"PDD_3","0.8391937","0",30,"V2;V1;V3","logistic"
"Base Test","0.9006993","0",30,"V2","logistic"
"Base Train","0.9056538","0",30,"V2","logistic"
"batch sizes","5713","1429",30,"V2","logistic"
"HDDM_A","0.835794","2",30,"V1","tree"
"HDDM_W","0.835421","2",30,"V1","tree"
"KSWIN","0.8376122","29",30,"V1","tree"
"PageHinkley","0.8367515","3",30,"V1","tree"
"DDM","0.8356263","3",30,"V1","tree"
"EDDM","0.8340458","8",30,"V1","tree"
"PDD_C","0.8349313","8",30,"V1","tree"
"PDD_1","0.8357466","2",30,"V1","tree"
"PDD_2","0.8374231","3",30,"V1;V2","tree"
"PDD_3","0.8374231","3",30,"V1;V2;V3","tree"
"Base Test","0.8797203","0",30,"V1","tree"
"Base Train","0.8849991","0",30,"V1","tree"
"batch sizes","5713","1429",30,"V1","tree"
