"Model","Mean_Accuracy","Drift_Count","Batch","most_important","model","l2_coef","l2der_coef"
"PDD_2","2.792158","3",30,"feature_4;feature_2","linear",4,4
"PDD_3","2.784549","14",30,"feature_4;feature_2;feature_1","linear",4,4
"Base Test","2.595838","0",30,"feature_4","linear",4,4
"Base Train","2.546311","0",30,"feature_4","linear",4,4
"batch sizes","2285","572",30,"feature_4","linear",4,4
"KSWIN","3.287508","23",30,"feature_4","tree",4,4
"PageHinkley","3.271003","16",30,"feature_4","tree",4,4
"PDD_C","3.244327","0",30,"feature_4","tree",4,4
"PDD_1","3.244327","0",30,"feature_4","tree",4,4
"PDD_2","3.244327","0",30,"feature_4;feature_2","tree",4,4
"PDD_3","3.244327","0",30,"feature_4;feature_2;feature_1","tree",4,4
"Base Test","3.040048","0",30,"feature_4","tree",4,4
"Base Train","2.974407","0",30,"feature_4","tree",4,4
"batch sizes","2285","572",30,"feature_4","tree",4,4
"KSWIN","1.998657","10",10,"feature_4","rf",5,5
"PageHinkley","2.057447","3",10,"feature_4","rf",5,5
"PDD_C","2.091111","0",10,"feature_4","rf",5,5
"PDD_1","2.091111","0",10,"feature_4","rf",5,5
"PDD_2","2.091111","0",10,"feature_4;feature_2","rf",5,5
"PDD_3","2.091111","0",10,"feature_4;feature_2;feature_1","rf",5,5
"Base Test","1.663922","0",10,"feature_4","rf",5,5
"Base Train","0.7430855","0",10,"feature_4","rf",5,5
"batch sizes","5332","1334",10,"feature_4","rf",5,5
"KSWIN","2.835634","10",10,"feature_4","linear",5,5
"PageHinkley","2.832767","5",10,"feature_4","linear",5,5
"PDD_C","2.843165","1",10,"feature_4","linear",5,5
"PDD_1","2.842169","0",10,"feature_4","linear",5,5
"PDD_2","2.842169","0",10,"feature_4;feature_2","linear",5,5
"PDD_3","2.842169","0",10,"feature_4;feature_2;feature_1","linear",5,5
"Base Test","2.643223","0",10,"feature_4","linear",5,5
"Base Train","2.592646","0",10,"feature_4","linear",5,5
"batch sizes","5332","1334",10,"feature_4","linear",5,5
"KSWIN","3.336439","10",10,"feature_4","tree",5,5
