"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"logistic",30,2,5,10,"attribute8;attribute1","attribute8",0.759615384615385
"logistic",30,2,6,11,"attribute8;attribute1","attribute8",0.746153846153846
"logistic",30,2,7,12,"attribute8;attribute2","attribute8",0.75
"logistic",30,2,8,18,"attribute8;attribute1","attribute8",0.823076923076923
"logistic",30,2,9,28,"attribute8;attribute1","attribute8",0.761538461538461
"logistic",30,2,10,29,"attribute8;attribute1","attribute8",0.684615384615385
"logistic",30,3,0,0,"attribute2;attribute8;attribute4",NA,0.817307692307692
"logistic",30,3,1,2,"attribute8;attribute2;attribute4","attribute8",0.805769230769231
"logistic",30,3,2,4,"attribute8;attribute1;attribute2","attribute8",0.767307692307692
"logistic",30,3,3,5,"attribute8;attribute1;attribute2","attribute8",0.782692307692308
"logistic",30,3,4,6,"attribute8;attribute1;attribute2","attribute8",0.773076923076923
"logistic",30,3,5,10,"attribute8;attribute1;attribute2","attribute8",0.759615384615385
"logistic",30,3,6,11,"attribute8;attribute1;attribute2","attribute8",0.746153846153846
"logistic",30,3,7,12,"attribute8;attribute2;attribute1","attribute8",0.75
"logistic",30,3,8,18,"attribute8;attribute1;attribute2","attribute8",0.823076923076923
"logistic",30,3,9,28,"attribute8;attribute1;attribute2","attribute8",0.761538461538461
"logistic",30,3,10,29,"attribute8;attribute1;attribute2","attribute8",0.684615384615385
"tree",30,1,0,0,"attribute2",NA,0.780769230769231
"tree",30,1,1,1,"attribute2","attribute2",0.763461538461538
"tree",30,1,2,22,"attribute2","attribute2",0.7
"tree",30,1,3,23,"attribute2","attribute2",0.738461538461539
"tree",30,1,4,24,"attribute2","attribute2",0.728846153846154
"tree",30,1,5,26,"attribute2","attribute2",0.796153846153846
"tree",30,2,0,0,"attribute2;attribute1",NA,0.780769230769231
"tree",30,2,1,1,"attribute2;attribute1","attribute2",0.763461538461538
"tree",30,2,2,22,"attribute2;attribute1","attribute2",0.7
"tree",30,2,3,23,"attribute2;attribute1","attribute2",0.738461538461539
"tree",30,2,4,24,"attribute2;attribute1","attribute2;attribute1",0.728846153846154
"tree",30,2,5,26,"attribute2;attribute1","attribute2;attribute1",0.796153846153846
"tree",30,2,6,28,"attribute2;attribute1","attribute1",0.725
"tree",30,2,7,29,"attribute2;attribute1","attribute2;attribute1",0.653846153846154
"tree",30,2,8,30,"attribute2;attribute1","attribute2;attribute1",0.52621359223301
"tree",30,3,0,0,"attribute2;attribute1;attribute7",NA,0.780769230769231
"tree",30,3,1,1,"attribute2;attribute1;attribute8","attribute2",0.763461538461538
"tree",30,3,2,14,"attribute2;attribute1;attribute8","attribute8",0.713461538461538
"tree",30,3,3,15,"attribute2;attribute1;attribute7","attribute1;attribute8",0.790384615384615
"tree",30,3,4,16,"attribute2;attribute1;attribute8","attribute7",0.755769230769231
"tree",30,3,5,17,"attribute2;attribute1;attribute8","attribute2;attribute8",0.782692307692308
"tree",30,3,6,18,"attribute2;attribute1;attribute7","attribute2;attribute1",0.753846153846154
"tree",30,3,7,19,"attribute2;attribute1;attribute7","attribute1",0.780769230769231
"tree",30,3,8,21,"attribute2;attribute1;attribute8","attribute1",0.676923076923077
"tree",30,3,9,26,"attribute2;attribute1;attribute8","attribute1",0.778846153846154
"tree",30,3,10,27,"attribute2;attribute1;attribute8","attribute8",0.726923076923077
"tree",30,3,11,28,"attribute2;attribute1;attribute7","attribute8",0.738461538461539
"tree",30,3,12,29,"attribute2;attribute1;attribute7","attribute2;attribute1;attribute7",0.678846153846154
"tree",30,3,13,30,"attribute2;attribute1;attribute8","attribute2;attribute7",0.627184466019417
