"model","Batch","top_k","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"logistic",30,1,8,18,"nswprice","nswprice",0.63966049382716
"logistic",30,1,9,24,"nswprice","nswprice",0.709104938271605
"logistic",30,1,10,27,"nswprice","nswprice",0.780864197530864
"logistic",30,1,11,29,"nswprice","nswprice",0.816358024691358
"logistic",30,2,0,0,"nswprice;nswdemand",NA,0.815586419753086
"logistic",30,2,1,1,"nswprice;nswdemand","nswprice",0.640432098765432
"logistic",30,2,2,9,"nswprice;vicprice","nswprice",0.80787037037037
"logistic",30,2,3,10,"nswprice;vicprice","nswprice",0.790123456790123
"logistic",30,2,4,12,"nswprice;nswdemand","nswprice",0.78858024691358
"logistic",30,2,5,14,"nswprice;nswdemand","nswprice",0.715277777777778
"logistic",30,2,6,16,"nswprice;nswdemand","nswprice",0.624228395061728
"logistic",30,2,7,17,"nswprice;vicdemand","nswprice",0.675925925925926
"logistic",30,2,8,18,"nswprice;vicdemand","nswprice;vicdemand",0.63966049382716
"logistic",30,2,9,19,"nswprice;vicprice","vicdemand",0.621141975308642
"logistic",30,2,10,29,"nswprice;vicdemand","nswprice",0.753086419753086
"logistic",30,3,0,0,"nswprice;nswdemand",NA,0.815586419753086
"logistic",30,3,1,1,"nswprice;nswdemand","nswprice",0.640432098765432
"logistic",30,3,2,9,"nswprice;vicprice;nswdemand","nswprice",0.80787037037037
"logistic",30,3,3,10,"nswprice;vicprice;nswdemand","nswprice",0.790123456790123
"logistic",30,3,4,12,"nswprice;nswdemand;vicdemand","nswprice",0.78858024691358
"logistic",30,3,5,14,"nswprice;nswdemand;vicdemand","nswprice",0.715277777777778
"logistic",30,3,6,16,"nswprice;nswdemand;vicdemand","nswprice",0.624228395061728
"logistic",30,3,7,17,"nswprice;vicdemand;nswdemand","nswprice",0.675925925925926
"logistic",30,3,8,18,"nswprice;vicdemand;nswdemand","nswprice;vicdemand",0.63966049382716
"logistic",30,3,9,19,"nswprice;vicprice;vicdemand","vicdemand;nswdemand",0.621141975308642
"logistic",30,3,10,20,"nswprice;nswdemand;vicdemand","vicdemand",0.608796296296296
"logistic",30,3,11,21,"nswprice;nswdemand;vicprice","vicdemand",0.564043209876543
"tree",30,1,0,0,"nswprice",NA,0.802469135802469
"tree",30,1,1,1,"nswprice","nswprice",0.733796296296296
"tree",30,1,2,7,"nswprice","nswprice",0.835648148148148
"tree",30,1,3,14,"nswprice","nswprice",0.710648148148148
"tree",30,1,4,20,"nswprice","nswprice",0.611882716049383
"tree",30,2,0,0,"nswprice;nswdemand",NA,0.802469135802469
"tree",30,2,1,1,"nswprice;nswdemand","nswprice",0.733796296296296
"tree",30,2,2,2,"nswprice;nswdemand","nswdemand",0.849537037037037
"tree",30,2,3,3,"nswprice;nswdemand","nswprice",0.844907407407407
"tree",30,2,4,4,"nswprice;nswdemand","nswprice",0.833333333333333
"tree",30,2,5,5,"nswprice;nswdemand","nswdemand",0.780864197530864
"tree",30,2,6,6,"nswprice;nswdemand","nswdemand",0.808641975308642
"tree",30,2,7,10,"nswprice;nswdemand","nswdemand",0.759259259259259
"tree",30,2,8,11,"nswprice;vicprice","nswprice",0.678240740740741
"tree",30,2,9,15,"nswprice;vicprice","nswprice",0.771604938271605
"tree",30,2,10,30,"nswprice;vicprice","nswprice",0.737743190661479
"tree",30,3,0,0,"nswprice;nswdemand",NA,0.802469135802469
"tree",30,3,1,1,"nswprice;nswdemand","nswprice",0.733796296296296
"tree",30,3,2,2,"nswprice;nswdemand","nswdemand",0.849537037037037
"tree",30,3,3,3,"nswprice;nswdemand","nswprice",0.844907407407407
"tree",30,3,4,4,"nswprice;nswdemand","nswprice",0.833333333333333
"tree",30,3,5,5,"nswprice;nswdemand","nswdemand",0.780864197530864
"tree",30,3,6,6,"nswprice;nswdemand","nswdemand",0.808641975308642
"tree",30,3,7,10,"nswprice;nswdemand;vicprice","nswdemand",0.759259259259259
"tree",30,3,8,11,"nswprice;vicprice;nswdemand","nswprice",0.678240740740741
"tree",30,3,9,12,"nswprice;vicprice;nswdemand","nswdemand",0.827932098765432
"tree",30,3,10,15,"nswprice;vicprice;nswdemand","nswprice;nswdemand",0.772376543209877
"tree",30,3,11,17,"nswprice;vicprice;nswdemand","nswdemand",0.700617283950617
"tree",30,3,12,23,"nswprice;vicprice;nswdemand","nswdemand",0.82716049382716
"tree",30,3,13,24,"nswprice;vicprice;nswdemand","nswdemand",0.733796296296296
"tree",30,3,14,26,"nswprice;vicprice;nswdemand","nswprice",0.756944444444444
"tree",30,3,15,27,"nswprice;vicprice;nswdemand","nswdemand",0.777006172839506
"tree",30,3,16,28,"nswprice;vicprice;nswdemand","nswdemand",0.797067901234568
