"model","Batch","top_k","l2_coef","l2der_coef","update_no","batch_index","top_vars","drift_triggered_by","accuracy"
"linear",20,2,1,1,1,1,"feature_4;feature_2","feature_4",2.71257448383964
"linear",20,2,1,1,2,2,"feature_4;feature_2","feature_2",2.6218980796647
"linear",20,3,1,1,0,0,"feature_4;feature_2;feature_1",NA,2.55908541587481
"linear",20,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_4",2.71257448383964
"linear",20,3,1,1,2,2,"feature_4;feature_2;feature_1","feature_2;feature_1",2.6218980796647
"linear",20,3,1,1,3,3,"feature_4;feature_2;feature_1","feature_1",2.75506715866862
"linear",20,3,1,1,4,5,"feature_4;feature_2;feature_1","feature_1",2.66322191060972
"linear",20,3,1,1,5,7,"feature_4;feature_2;feature_1","feature_1",2.59184795689819
"linear",20,3,1,1,6,8,"feature_4;feature_2;feature_1","feature_4;feature_1",2.63360178695932
"linear",20,3,1,1,7,9,"feature_4;feature_2;feature_1","feature_4;feature_1",2.71009501542412
"linear",20,3,1,1,8,10,"feature_4;feature_2;feature_1","feature_4;feature_1",2.60364856879348
"linear",20,3,1,1,9,11,"feature_4;feature_2;feature_1","feature_4;feature_2",2.80288299185586
"linear",20,3,1,1,10,12,"feature_4;feature_2;feature_1","feature_4;feature_1",2.59242545979466
"linear",20,3,1,1,11,13,"feature_4;feature_2;feature_1","feature_1",2.57033002414504
"linear",20,3,1,1,12,14,"feature_4;feature_2;feature_1","feature_4;feature_1",2.58420201090316
"linear",20,3,1,1,13,15,"feature_4;feature_2;feature_1","feature_4;feature_1",2.57757236007654
"linear",20,3,1,1,14,16,"feature_4;feature_2;feature_1","feature_4",2.58117228182012
"linear",20,3,1,1,15,17,"feature_4;feature_2;feature_1","feature_4;feature_1",2.79446819116714
"linear",20,3,1,1,16,18,"feature_4;feature_1;feature_2","feature_1",4.46299595668923
"linear",20,3,1,1,17,19,"feature_4;feature_1;feature_2","feature_1",3.9829118587279
"linear",20,3,1,1,18,20,"feature_4;feature_1;feature_2","feature_1;feature_2",2.62504393605987
"tree",20,1,1,1,0,0,"feature_4",NA,3.15736630006375
"tree",20,1,1,1,1,1,"feature_4","feature_4",3.02527106398235
"tree",20,1,1,1,2,7,"feature_4","feature_4",3.0677621696038
"tree",20,1,1,1,3,8,"feature_4","feature_4",2.89866246167845
"tree",20,1,1,1,4,16,"feature_4","feature_4",3.04038128287269
"tree",20,2,1,1,0,0,"feature_4;feature_1",NA,3.15736630006375
"tree",20,2,1,1,1,1,"feature_4;feature_2","feature_4",3.02527106398235
"tree",20,2,1,1,2,7,"feature_4;feature_1","feature_4",3.0677621696038
"tree",20,2,1,1,3,8,"feature_4;feature_1","feature_4",2.89866246167845
"tree",20,2,1,1,4,10,"feature_4;feature_2","feature_1",3.01891975016303
"tree",20,2,1,1,5,14,"feature_4;feature_2","feature_2",2.97208260904287
"tree",20,2,1,1,6,15,"feature_4;feature_2","feature_2",3.00793553898663
"tree",20,2,1,1,7,16,"feature_4;feature_2","feature_2",3.07641313777594
"tree",20,2,1,1,8,18,"feature_4;feature_1","feature_2",4.95013366810243
"tree",20,2,1,1,9,20,"feature_4;feature_1","feature_4",3.08677110078627
"tree",20,3,1,1,0,0,"feature_4;feature_1;feature_2",NA,3.15736630006375
"tree",20,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_4",3.02527106398235
"tree",20,3,1,1,2,3,"feature_4;feature_2;feature_1","feature_1",3.10548236539018
"tree",20,3,1,1,3,5,"feature_4;feature_2;feature_1","feature_2",3.16482029088614
"tree",20,3,1,1,4,6,"feature_4;feature_2;feature_1","feature_1",3.03798784656807
"tree",20,3,1,1,5,7,"feature_4;feature_2;feature_1","feature_4;feature_2",3.14754213352698
"tree",20,3,1,1,6,8,"feature_4;feature_2;feature_1","feature_4;feature_2",3.04526818043259
"tree",20,3,1,1,7,10,"feature_4;feature_2;feature_1","feature_4",3.01915580358765
"tree",20,3,1,1,8,11,"feature_4;feature_2;feature_1","feature_4",3.14447006904734
"tree",20,3,1,1,9,12,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",3.16713296100063
"tree",20,3,1,1,10,13,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",3.15961218466724
"tree",20,3,1,1,11,14,"feature_4;feature_2;feature_1","feature_4;feature_1",3.15091376488053
"tree",20,3,1,1,12,16,"feature_4;feature_2;feature_1","feature_2",3.15256374196484
"tree",20,3,1,1,13,17,"feature_4;feature_2;feature_1","feature_1",3.33565665034608
"tree",20,3,1,1,14,18,"feature_4;feature_1;feature_2","feature_2",4.92565748028818
"tree",20,3,1,1,15,19,"feature_4;feature_1;feature_2","feature_4",4.4797218808407
"rf",30,1,1,1,0,0,"feature_4",NA,1.76612127481215
"rf",30,1,1,1,1,7,"feature_4","feature_4",1.80321024407345
"rf",30,1,1,1,2,8,"feature_4","feature_4",1.78953401292094
"rf",30,1,1,1,3,9,"feature_4","feature_4",1.79112956728769
"rf",30,1,1,1,4,10,"feature_4","feature_4",1.68859570642991
"rf",30,1,1,1,5,11,"feature_4","feature_4",1.68914424189246
"rf",30,1,1,1,6,12,"feature_4","feature_4",1.68242365690713
"rf",30,1,1,1,7,13,"feature_4","feature_4",1.56128698923252
"rf",30,1,1,1,8,17,"feature_4","feature_4",1.72984287735419
"rf",30,1,1,1,9,19,"feature_4","feature_4",1.55729296652181
"rf",30,1,1,1,10,20,"feature_4","feature_4",1.5139892907524
"rf",30,1,1,1,11,21,"feature_4","feature_4",1.62685431873932
"rf",30,1,1,1,12,22,"feature_4","feature_4",1.45426386791979
"rf",30,1,1,1,13,23,"feature_4","feature_4",1.64750706462701
"rf",30,1,1,1,14,24,"feature_4","feature_4",1.59568143808484
"rf",30,1,1,1,15,25,"feature_4","feature_4",1.54466643626311
"rf",30,1,1,1,16,27,"feature_4","feature_4",5.00659003633988
"rf",30,1,1,1,17,28,"feature_4","feature_4",4.95449094869529
"rf",30,1,1,1,18,29,"feature_4","feature_4",2.71919447383555
"rf",30,2,1,1,0,0,"feature_4;feature_1",NA,1.76612127481215
"rf",30,2,1,1,1,1,"feature_4;feature_2","feature_1",1.79692000891793
"rf",30,2,1,1,2,2,"feature_4;feature_2","feature_2",1.77055277101569
"rf",30,2,1,1,3,10,"feature_4;feature_2","feature_4",1.70640775827275
"rf",30,2,1,1,4,12,"feature_4;feature_2","feature_2",1.7136853652716
"rf",30,2,1,1,5,13,"feature_4;feature_2","feature_2",1.58501548940276
"rf",30,2,1,1,6,14,"feature_4;feature_2","feature_2",1.69727284536662
"rf",30,2,1,1,7,15,"feature_4;feature_2","feature_4;feature_2",1.76616474395134
"rf",30,2,1,1,8,16,"feature_4;feature_2","feature_4",1.61929941562156
"rf",30,2,1,1,9,19,"feature_4;feature_2","feature_4",1.55024944879738
"rf",30,2,1,1,10,20,"feature_4;feature_2","feature_2",1.5516770680124
"rf",30,2,1,1,11,21,"feature_4;feature_2","feature_4;feature_2",1.5826988171884
"rf",30,2,1,1,12,22,"feature_4;feature_2","feature_4;feature_2",1.47584434250347
"rf",30,2,1,1,13,25,"feature_4;feature_2","feature_4",1.52589551870366
"rf",30,2,1,1,14,26,"feature_4;feature_1","feature_4",3.20940017978618
"rf",30,2,1,1,15,27,"feature_4;feature_1","feature_4",4.86118182897618
"rf",30,2,1,1,16,28,"feature_4;feature_1","feature_4;feature_1",4.84220687079482
"rf",30,2,1,1,17,29,"feature_4;feature_1","feature_4",2.72760602106701
"rf",30,3,1,1,0,0,"feature_4;feature_1;feature_2",NA,1.76612127481215
"rf",30,3,1,1,1,1,"feature_4;feature_2;feature_1","feature_1;feature_2",1.79692000891793
"rf",30,3,1,1,2,2,"feature_4;feature_2;feature_1","feature_2;feature_1",1.77055277101569
"rf",30,3,1,1,3,6,"feature_4;feature_2;feature_1","feature_1",1.76664845307824
"rf",30,3,1,1,4,7,"feature_4;feature_2;feature_1","feature_2;feature_1",1.67887654859093
"rf",30,3,1,1,5,8,"feature_4;feature_2;feature_1","feature_2",1.74640950132923
"rf",30,3,1,1,6,9,"feature_4;feature_2;feature_1","feature_4",1.7351975810264
"rf",30,3,1,1,7,10,"feature_4;feature_2;feature_1","feature_4;feature_2",1.63404176016746
"rf",30,3,1,1,8,12,"feature_4;feature_2;feature_1","feature_1",1.65248313425709
"rf",30,3,1,1,9,13,"feature_4;feature_2;feature_1","feature_4",1.52037830389612
"rf",30,3,1,1,10,14,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",1.62734251824987
"rf",30,3,1,1,11,15,"feature_4;feature_2;feature_1","feature_4;feature_2",1.66842537969105
"rf",30,3,1,1,12,17,"feature_4;feature_2;feature_1","feature_4",1.66090525452721
"rf",30,3,1,1,13,18,"feature_4;feature_2;feature_1","feature_2;feature_1",1.61602832268366
"rf",30,3,1,1,14,19,"feature_4;feature_2;feature_1","feature_4",1.48086685070526
"rf",30,3,1,1,15,20,"feature_4;feature_2;feature_1","feature_4;feature_2;feature_1",1.48083930383431
"rf",30,3,1,1,16,21,"feature_4;feature_2;feature_1","feature_4",1.52165851181085
"rf",30,3,1,1,17,22,"feature_4;feature_2;feature_1","feature_1",1.43985884799832
"rf",30,3,1,1,18,23,"feature_4;feature_2;feature_1","feature_1",1.56806429928026
"rf",30,3,1,1,19,24,"feature_4;feature_2;feature_1","feature_4;feature_2",1.51712190607823
"rf",30,3,1,1,20,25,"feature_4;feature_2;feature_1","feature_4;feature_1",1.46466850704665
"rf",30,3,1,1,21,27,"feature_4;feature_1;feature_2","feature_4",5.02573528508207
"rf",30,3,1,1,22,28,"feature_4;feature_1;feature_2","feature_4;feature_1;feature_2",4.97983659316954
"rf",30,3,1,1,23,29,"feature_4;feature_1;feature_2","feature_4;feature_1",2.7307291766647
"rf",30,3,1,1,24,30,"feature_4;feature_1;feature_2","feature_2",1.58843594677367
"linear",30,1,1,1,0,0,"feature_4",NA,2.59583828972965
"linear",30,1,1,1,1,7,"feature_4","feature_4",2.60126632649464
"linear",30,2,1,1,0,0,"feature_4;feature_2",NA,2.59583828972965
"linear",30,2,1,1,1,1,"feature_4;feature_2","feature_2",2.55589560555109
"linear",30,2,1,1,2,2,"feature_4;feature_2","feature_2",2.57842836791631
"linear",30,2,1,1,3,4,"feature_4;feature_2","feature_4;feature_2",2.63421288879307
"linear",30,2,1,1,4,6,"feature_4;feature_2","feature_4;feature_2",2.77944921663811
"linear",30,2,1,1,5,7,"feature_4;feature_2","feature_4",2.60099745966183
"linear",30,2,1,1,6,8,"feature_4;feature_2","feature_4;feature_2",2.61036172035574
"linear",30,2,1,1,7,9,"feature_4;feature_2","feature_4;feature_2",2.67449384655965
"linear",30,2,1,1,8,10,"feature_4;feature_2","feature_4",2.62311229895912
